simulation,selected_model,selection_mean_hits,outer_mean_hits,outer_total_hits,unadjusted_normal_p,appears_significant_p_le_0_05
484,recent50,0.7427184466019418,0.7184466019417476,592,0.7302862119135235,False
485,recent100,0.7524271844660194,0.7220873786407767,595,0.6830206541663417,False
486,cold_gap,0.7378640776699029,0.7075242718446602,583,0.8476079784124912,False
487,ewma,0.7742718446601942,0.7463592233009708,615,0.3297462616248388,False
488,repeat_last,0.7669902912621359,0.75,618,0.28158805313955937,False
489,exclude_last,0.787621359223301,0.712378640776699,587,0.8003502382496974,False
490,cold_gap,0.7524271844660194,0.7839805825242718,646,0.031328533425804585,True
491,cold_gap,0.758495145631068,0.7730582524271845,637,0.07365931597746934,False
492,cold_gap,0.7706310679611651,0.720873786407767,594,0.6991652543184983,False
493,exclude_last,0.75,0.7463592233009708,615,0.3297462616248388,False
494,exclude_last,0.7645631067961165,0.7451456310679612,614,0.34650443451839497,False
495,prespecified_full_linear,0.7621359223300971,0.7864077669902912,648,0.025392334713058615,True
496,fixed_1_6,0.7524271844660194,0.7427184466019418,612,0.3809077895376133,False
497,fixed_1_6,0.7645631067961165,0.7427184466019418,612,0.3809077895376133,False
498,historical,0.7645631067961165,0.7002427184466019,577,0.9034154459649429,False
499,repeat_last,0.787621359223301,0.6856796116504854,565,0.9679387275865099,False
500,cold_gap,0.7560679611650486,0.7706310679611651,635,0.08732862529121244,False
501,historical,0.758495145631068,0.7063106796116505,582,0.8581550282525336,False
502,exclude_last,0.7475728155339806,0.7682038834951457,633,0.10280799780698574,False
503,exclude_last,0.7560679611650486,0.7475728155339806,616,0.3133231039979236,False
504,cold_gap,0.7378640776699029,0.7548543689320388,622,0.22318352957237225,False
505,repeat_last,0.7803398058252428,0.7669902912621359,632,0.11125636257450994,False
506,ewma,0.7560679611650486,0.7257281553398058,598,0.6325617661226961,False
507,recent100,0.7912621359223301,0.7257281553398058,598,0.6325617661226961,False
508,repeat_last,0.7597087378640777,0.6978155339805825,575,0.9181808358447294,False
509,cold_gap,0.7742718446601942,0.720873786407767,594,0.6991652543184983,False
510,fixed_1_6,0.7645631067961165,0.7597087378640777,626,0.17237005601348904,False
511,prespecified_full_linear,0.7742718446601942,0.7281553398058253,600,0.5975336261150406,False
512,recent20,0.7985436893203883,0.7524271844660194,620,0.25149009712395237,False
513,historical,0.7657766990291263,0.7548543689320388,622,0.22318352957237225,False
514,historical,0.7718446601941747,0.7633495145631068,629,0.13954688860799924,False
515,recent20,0.779126213592233,0.7402912621359223,610,0.4162798370944438,False
516,recent50,0.7839805825242718,0.6747572815533981,556,0.9882091347787224,False
517,historical,0.7645631067961165,0.7378640776699029,608,0.4523436802930008,False
518,prespecified_full_linear,0.8046116504854369,0.7864077669902912,648,0.025392334713058615,True
519,historical,0.7851941747572816,0.7293689320388349,601,0.5797013408847131,False
520,cold_gap,0.7779126213592233,0.7148058252427184,589,0.7737324306823015,False
521,repeat_last,0.7706310679611651,0.7317961165048543,603,0.5435779510099145,False
522,recent50,0.8070388349514563,0.7160194174757282,590,0.7597057860482179,False
523,exclude_last,0.7560679611650486,0.7087378640776699,584,0.8365530202164848,False
524,fixed_1_6,0.7548543689320388,0.6953883495145631,573,0.9311772565970722,False
525,prespecified_full_linear,0.8228155339805825,0.720873786407767,594,0.6991652543184983,False
526,recent50,0.7718446601941747,0.7050970873786407,581,0.8681963876936509,False
527,cold_gap,0.7827669902912622,0.7597087378640777,626,0.17237005601348904,False
528,fixed_1_6,0.7730582524271845,0.7427184466019418,612,0.3809077895376133,False
529,recent50,0.8046116504854369,0.7354368932038835,606,0.48880532163061946,False
530,recent100,0.7633495145631068,0.7330097087378641,604,0.525360829848416,False
531,recent100,0.7803398058252428,0.7281553398058253,600,0.5975336261150406,False
532,historical,0.758495145631068,0.758495145631068,625,0.18432577747804996,False
533,exclude_last,0.741504854368932,0.7378640776699029,608,0.4523436802930008,False
534,ewma,0.7912621359223301,0.7184466019417476,592,0.7302862119135235,False
535,cold_gap,0.7633495145631068,0.7075242718446602,583,0.8476079784124912,False
536,fixed_1_6,0.7742718446601942,0.7293689320388349,601,0.5797013408847131,False
537,exclude_last,0.7633495145631068,0.7354368932038835,606,0.48880532163061946,False
538,repeat_last,0.7754854368932039,0.741504854368932,611,0.3984895521639562,False
539,historical,0.7779126213592233,0.7766990291262136,640,0.05630341180044239,False
540,recent20,0.7949029126213593,0.7354368932038835,606,0.48880532163061946,False
541,repeat_last,0.7985436893203883,0.7560679611650486,623,0.2097397920498521,False
542,recent50,0.8070388349514563,0.7305825242718447,602,0.5617039190713526,False
543,recent20,0.7839805825242718,0.7196601941747572,593,0.7149281989699228,False
544,exclude_last,0.7949029126213593,0.741504854368932,611,0.3984895521639562,False
545,exclude_last,0.7609223300970874,0.6941747572815534,572,0.9370479461639363,False
546,recent20,0.7949029126213593,0.7026699029126213,579,0.8867806117934394,False
547,cold_gap,0.7694174757281553,0.7281553398058253,600,0.5975336261150406,False
548,historical,0.7718446601941747,0.7572815533980582,624,0.19678438713652951,False
549,recent100,0.7694174757281553,0.7390776699029126,609,0.4342433395169152,False
550,fixed_1_6,0.7657766990291263,0.7172330097087378,591,0.7452182926492441,False
551,cold_gap,0.7754854368932039,0.75,618,0.28158805313955937,False
